ref_id,book,chapter,verse
1031042,1,31,42
1031043,1,31,43
1031044,1,31,44
1031045,1,31,45
1031046,1,31,46
1031047,1,31,47
1031048,1,31,48
1031049,1,31,49
1031050,1,31,50
1031051,1,31,51
1031052,1,31,52
1031053,1,31,53
1031054,1,31,54
1031055,1,31,55
1032001,1,32,1
1032002,1,32,2
1032003,1,32,3
1032004,1,32,4
1032005,1,32,5
1032006,1,32,6
1032007,1,32,7
1032008,1,32,8
1032009,1,32,9
1032010,1,32,10
1032011,1,32,11
1032012,1,32,12
1032013,1,32,13
1032014,1,32,14
1032015,1,32,15
1032016,1,32,16
1032017,1,32,17
1032018,1,32,18
1032019,1,32,19
1032020,1,32,20
1032021,1,32,21
1032022,1,32,22
1032023,1,32,23
1032024,1,32,24
1032025,1,32,25
1032026,1,32,26
1032027,1,32,27
1032028,1,32,28
1032029,1,32,29
1032030,1,32,30
1032031,1,32,31
1032032,1,32,32
1033001,1,33,1
1033002,1,33,2
1033003,1,33,3
1033004,1,33,4
1033005,1,33,5
1033006,1,33,6
1033007,1,33,7
1033008,1,33,8
1033009,1,33,9
1033010,1,33,10
1033011,1,33,11
1033012,1,33,12
1033013,1,33,13
1033014,1,33,14
1033015,1,33,15
1033016,1,33,16
1033017,1,33,17
1033018,1,33,18
1033019,1,33,19
1033020,1,33,20
1034001,1,34,1
1034002,1,34,2
1034003,1,34,3
1034004,1,34,4
1034005,1,34,5
1034006,1,34,6
1034007,1,34,7
1034008,1,34,8
1034009,1,34,9
1034010,1,34,10
1034011,1,34,11
1034012,1,34,12
1034013,1,34,13
1034014,1,34,14
1034015,1,34,15
1034016,1,34,16
1034017,1,34,17
1034018,1,34,18
1034019,1,34,19
1034020,1,34,20
1034021,1,34,21
1034022,1,34,22
1034023,1,34,23
1034024,1,34,24
1034025,1,34,25
1034026,1,34,26
1034027,1,34,27
1034028,1,34,28
1034029,1,34,29
1034030,1,34,30
1034031,1,34,31
1035001,1,35,1
1035002,1,35,2
1035003,1,35,3
1035004,1,35,4
1035005,1,35,5
1035006,1,35,6
1035007,1,35,7
1035008,1,35,8
1035009,1,35,9
1035010,1,35,10
1035011,1,35,11
1035012,1,35,12
1035013,1,35,13
1035014,1,35,14
1035015,1,35,15
1035016,1,35,16
1035017,1,35,17
1035018,1,35,18
1035019,1,35,19
1035020,1,35,20
1035021,1,35,21
1035022,1,35,22
1035023,1,35,23
1035024,1,35,24
1035025,1,35,25
1035026,1,35,26
1035027,1,35,27
1035028,1,35,28
1035029,1,35,29
1036001,1,36,1
1036002,1,36,2
1036003,1,36,3
1036004,1,36,4
1036005,1,36,5
1036006,1,36,6
1036007,1,36,7
1036008,1,36,8
1036009,1,36,9
1036010,1,36,10
1036011,1,36,11
1036012,1,36,12
1036013,1,36,13
1036014,1,36,14
1036015,1,36,15
1036016,1,36,16
1036017,1,36,17
1036018,1,36,18
1036019,1,36,19
1036020,1,36,20
1036021,1,36,21
1036022,1,36,22
1036023,1,36,23
1036024,1,36,24
1036025,1,36,25
1036026,1,36,26
1036027,1,36,27
1036028,1,36,28
1036029,1,36,29
1036030,1,36,30
1036031,1,36,31
1036032,1,36,32
1036033,1,36,33
1036034,1,36,34
1036035,1,36,35
1036036,1,36,36
1036037,1,36,37
1036038,1,36,38
1036039,1,36,39
1036040,1,36,40
1036041,1,36,41
1036042,1,36,42
1036043,1,36,43
1037001,1,37,1
1037002,1,37,2
1037003,1,37,3
1037004,1,37,4
1037005,1,37,5
1037006,1,37,6
1037007,1,37,7
1037008,1,37,8
1037009,1,37,9
1037010,1,37,10
1037011,1,37,11
1037012,1,37,12
1037013,1,37,13
1037014,1,37,14
1037015,1,37,15
1037016,1,37,16
1037017,1,37,17
1037018,1,37,18
1037019,1,37,19
1037020,1,37,20
1037021,1,37,21
1037022,1,37,22
1037023,1,37,23
1037024,1,37,24
1037025,1,37,25
1037026,1,37,26
1037027,1,37,27
1037028,1,37,28
1037029,1,37,29
1037030,1,37,30
1037031,1,37,31
1037032,1,37,32
1037033,1,37,33
1037034,1,37,34
1037035,1,37,35
1037036,1,37,36
1038001,1,38,1
1038002,1,38,2
1038003,1,38,3
1038004,1,38,4
1038005,1,38,5
1038006,1,38,6
1038007,1,38,7
1038008,1,38,8
1038009,1,38,9
1038010,1,38,10
1038011,1,38,11
1038012,1,38,12
1038013,1,38,13
1038014,1,38,14
1038015,1,38,15
1038016,1,38,16
1038017,1,38,17
1038018,1,38,18
1038019,1,38,19
1038020,1,38,20
1038021,1,38,21
1038022,1,38,22
1038023,1,38,23
1038024,1,38,24
1038025,1,38,25
1038026,1,38,26
1038027,1,38,27
1038028,1,38,28
1038029,1,38,29
1038030,1,38,30
1039001,1,39,1
1039002,1,39,2
1039003,1,39,3
1039004,1,39,4
1039005,1,39,5
1039006,1,39,6
1039007,1,39,7
1039008,1,39,8
1039009,1,39,9
1039010,1,39,10
1039011,1,39,11
1039012,1,39,12
1039013,1,39,13
1039014,1,39,14
1039015,1,39,15
1039016,1,39,16
1039017,1,39,17
1039018,1,39,18
1039019,1,39,19
1039020,1,39,20
1039021,1,39,21
1039022,1,39,22
1039023,1,39,23
1040001,1,40,1
1040002,1,40,2
1040003,1,40,3
1040004,1,40,4
1040005,1,40,5
1040006,1,40,6
1040007,1,40,7
1040008,1,40,8
1040009,1,40,9
1040010,1,40,10
1040011,1,40,11
1040012,1,40,12
1040013,1,40,13
1040014,1,40,14
1040015,1,40,15
1040016,1,40,16
1040017,1,40,17
1040018,1,40,18
1040019,1,40,19
1040020,1,40,20
1040021,1,40,21
1040022,1,40,22
1040023,1,40,23
1041001,1,41,1
1041002,1,41,2
1041003,1,41,3
1041004,1,41,4
1041005,1,41,5
1041006,1,41,6
1041007,1,41,7
1041008,1,41,8
1041009,1,41,9
1041010,1,41,10
1041011,1,41,11
1041012,1,41,12
1041013,1,41,13
1041014,1,41,14
1041015,1,41,15
1041016,1,41,16
1041017,1,41,17
1041018,1,41,18
1041019,1,41,19
1041020,1,41,20
1041021,1,41,21
1041022,1,41,22
1041023,1,41,23
1041024,1,41,24
1041025,1,41,25
1041026,1,41,26
1041027,1,41,27
1041028,1,41,28
1041029,1,41,29
1041030,1,41,30
1041031,1,41,31
1041032,1,41,32
1041033,1,41,33
1041034,1,41,34
1041035,1,41,35
1041036,1,41,36
1041037,1,41,37
1041038,1,41,38
1041039,1,41,39
1041040,1,41,40
1041041,1,41,41
1041042,1,41,42
1041043,1,41,43
1041044,1,41,44
1041045,1,41,45
1041046,1,41,46
1041047,1,41,47
1041048,1,41,48
1041049,1,41,49
1041050,1,41,50
1041051,1,41,51
1041052,1,41,52
1041053,1,41,53
1041054,1,41,54
1041055,1,41,55
1041056,1,41,56
1041057,1,41,57
1042001,1,42,1
1042002,1,42,2
1042003,1,42,3
1042004,1,42,4
1042005,1,42,5
1042006,1,42,6
1042007,1,42,7
1042008,1,42,8
1042009,1,42,9
1042010,1,42,10
1042011,1,42,11
1042012,1,42,12
1042013,1,42,13
1042014,1,42,14
1042015,1,42,15
1042016,1,42,16
1042017,1,42,17
1042018,1,42,18
1042019,1,42,19
1042020,1,42,20
1042021,1,42,21
1042022,1,42,22
1042023,1,42,23
1042024,1,42,24
1042025,1,42,25
1042026,1,42,26
1042027,1,42,27
1042028,1,42,28
1042029,1,42,29
1042030,1,42,30
1042031,1,42,31
1042032,1,42,32
1042033,1,42,33
1042034,1,42,34
1042035,1,42,35
1042036,1,42,36
1042037,1,42,37
1042038,1,42,38
1043001,1,43,1
1043002,1,43,2
1043003,1,43,3
1043004,1,43,4
1043005,1,43,5
1043006,1,43,6
1043007,1,43,7
1043008,1,43,8
1043009,1,43,9
1043010,1,43,10
1043011,1,43,11
1043012,1,43,12
1043013,1,43,13
1043014,1,43,14
1043015,1,43,15
1043016,1,43,16
1043017,1,43,17
1043018,1,43,18
1043019,1,43,19
1043020,1,43,20
1043021,1,43,21
1043022,1,43,22
1043023,1,43,23
1043024,1,43,24
1043025,1,43,25
1043026,1,43,26
1043027,1,43,27
1043028,1,43,28
1043029,1,43,29
1043030,1,43,30
1043031,1,43,31
1043032,1,43,32
1043033,1,43,33
1043034,1,43,34
1044001,1,44,1
1044002,1,44,2
1044003,1,44,3
1044004,1,44,4
1044005,1,44,5
1044006,1,44,6
1044007,1,44,7
1044008,1,44,8
1044009,1,44,9
1044010,1,44,10
1044011,1,44,11
1044012,1,44,12
1044013,1,44,13
1044014,1,44,14
1044015,1,44,15
1044016,1,44,16
1044017,1,44,17
1044018,1,44,18
1044019,1,44,19
1044020,1,44,20
1044021,1,44,21
1044022,1,44,22
1044023,1,44,23
1044024,1,44,24
1044025,1,44,25
1044026,1,44,26
1044027,1,44,27
1044028,1,44,28
1044029,1,44,29
1044030,1,44,30
1044031,1,44,31
1044032,1,44,32
1044033,1,44,33
1044034,1,44,34
1045001,1,45,1
1045002,1,45,2
1045003,1,45,3
1045004,1,45,4
1045005,1,45,5
1045006,1,45,6
1045007,1,45,7
1045008,1,45,8
1045009,1,45,9
