language_id,language_code,language_name
770,ble,balanta-kentohe
771,blf,buol
772,blg,balau
773,blh,kuwaa
774,bli,bolia
775,blj,bulungan
776,blk,pa’o
777,blm,beli
778,bln,"bikol, southern catanduanes"
779,blo,anii
780,blp,blablanga
781,blq,baluan-pam
782,blr,blang
783,bls,balaesang
784,blt,tai dam
785,blv,kibala
786,blw,balangao
787,blx,"ayta, mag-indi"
788,bly,notre
789,blz,balantak
790,bma,lame
791,bmb,bembe
792,bmc,biem
793,bmd,baga manduri
794,bme,limassa
795,bmf,bom-kim
796,bmg,bamwe
797,bmh,kein
798,bmi,bagirmi
799,bmj,bote
800,bmk,ghayavi
801,bml,bomboli
802,bmm,"malagasy, northern betsimisaraka"
803,bmn,bina
804,bmo,bambalang
805,bmp,bulgebi
806,bmq,bomu
807,bmr,muinane
808,bms,"kanuri, bilma"
809,bmt,biao mon
810,bmu,somba-siawari
811,bmv,bum
812,bmw,bomwali
813,bmx,baimak
814,bmz,baramu
815,bna,bonerate
816,bnb,"murut, bookan"
817,bnd,banda
818,bne,bintauna
819,bnf,masiwang
820,bng,benga
821,bni,bangi
822,bnj,"tawbuid, eastern"
823,bnk,bierebo
824,bnl,boon
825,bnm,batanga
826,bnn,bunun
827,bno,bantoanon
828,bnp,bola
829,bnq,bantik
830,bnr,butmas-tur
831,bns,bundeli
832,bnu,bentong
833,bnv,beneraf
834,bnw,bisis
835,bnx,bangubangu
836,bny,bintulu
837,bnz,beezen
838,boa,bora
839,bob,aweer
840,bod,"tibetan, central"
841,boe,mundabli
842,bof,bolon
843,bog,bamako sign language
844,boh,boma
845,boi,barbareño
846,boj,anjam
847,bok,bonjo
848,bol,bole
849,bom,berom
850,bon,bine
851,boo,"bozo, tiemacèwè"
852,bop,bonkiman
853,boq,bogaya
854,bor,borôro
855,bos,bosnian
856,bot,bongo
857,bou,bondei
858,bov,tuwuli
859,bow,rema
860,box,buamu
861,boy,bodo
862,boz,"bozo, tieyaxo"
863,bpa,daakaka
864,bpb,barbacoas
865,bpd,banda-banda
866,bpg,bonggo
867,bph,botlikh
868,bpi,bagupi
869,bpj,binji
870,bpk,orowe
871,bpl,broome pearling lugger pidgin
872,bpm,biyom
873,bpn,dzao min
874,bpo,anasi
875,bpp,kaure
876,bpq,"malay, banda"
877,bpr,"blaan, koronadal"
878,bps,"blaan, sarangani"
879,bpt,barrow point
880,bpu,bongu
881,bpv,"marind, bian"
882,bpw,bo
883,bpx,"bareli, palya"
884,bpy,bishnupuriya
885,bpz,bilba
886,bqa,tchumbuli
887,bqb,bagusa
888,bqc,boko
889,bqd,bung
890,bqf,baga kaloum
891,bqg,bago-kusuntu
892,bqh,baima
893,bqi,bakhtiâri
894,bqj,bandial
895,bqk,banda-mbrès
896,bql,bilakura
897,bqm,wumboko
898,bqn,bulgarian sign language
899,bqo,balo
900,bqp,busa
901,bqq,biritai
902,bqr,burusu
903,bqs,bosmun
904,bqt,bamukumbit
905,bqu,boguru
906,bqv,koro wachi
907,bqw,buru
908,bqx,baangi
909,bqy,kata kolok
910,bqz,bakaka
911,bra,braj bhasha
912,brb,lave
913,brc,berbice creole dutch
914,brd,baram
915,bre,breton
916,brf,bera
