lang_code,lang_name,lang_code_alias,lang_id
mnx,Sougb,mnx,100682
moa,Mwan,moa,100683
mog,Mongondow,mog,100684
mon,Mongolian,mon,100685
mop,"Maya, Mopán",mop,100686
mor,Moro,mor,100687
mos,Mòoré,mos,100688
mox,Molima,mox,100689
moz,Mukulu,moz,100690
mpg,Marba,mpg,100691
mpm,"Mixtec, Yosondúa",mpm,100692
mpp,Migabac,mpp,100693
mpx,Misima-Panaeati,mpx,100694
mqb,Mbuko,mqb,100695
mqf,Momuna,mqf,100696
mqj,Mamasa,mqj,100697
mqn,Moronene,mqn,100698
mri,Maori,mri,100699
mrw,Maranao,mrw,100700
msy,Aruamu,msy,100701
mtd,Mualang,mtd,100702
mtj,Moskona,mtj,100703
mto,"Mixe, Totontepec",mto,100704
muh,Mündü,muh,100705
mup,Malvi,mup,100706
mur,Murle,mur,100707
muv,Muthuvan,muv,100708
muy,Muyang,muy,100709
mvp,Duri,mvp,100710
mwq,"Chin, Müün",mwq,100711
mwv,Mentawai,mwv,100712
mxb,"Mixtec, Tezoatlán",mxb,100713
mxq,"Mixe, Juquila",mxq,100714
mxt,"Mixtec, Jamiltepec",mxt,100715
mxv,"Mixtec, Metlatónoc",mxv,100716
mya,Burmese,mya,100717
myb,Mbay,myb,100718
myk,"Sénoufo, Mamara",myk,100719
myl,Moma,myl,100720
myv,Erzya,myv,100721
myx,Masaaba,myx,100722
myy,Macuna,myy,100723
mza,"Mixtec, Santa María Zacatepec",mza,100724
mzi,"Mazatec, Ixcatlán",mzi,100725
mzj,Manya,mzj,100726
mzk,"Mambila, Nigeria",mzk,100727
mzm,Mumuye,mzm,100728
mzw,Deg,mzw,100729
nab,"Nambikuára, Southern",nab,100730
nag,Nagamese,nag,100731
,"Chinese, Min Nan",,100732
nas,Naasioi,nas,100733
naw,Nawuri,naw,100734
nca,Iyo,nca,100735
nch,"Nahuatl, Central Huasteca",nch,100736
ncj,"Nahuatl, Northern Puebla",ncj,100737
ncl,"Nahuatl, Michoacán",ncl,100738
ncu,Chumburung,ncu,100739
ndj,Ndamba,ndj,100740
ndp,Kebu,ndp,100741
ndv,Ndut,ndv,100742
ndy,Lutos,ndy,100743
ndz,Ndogo,ndz,100744
neb,Toura,neb,100745
new,Newar,new,100746
nfa,Dhao,nfa,100747
nfr,Nafaanra,nfr,100748
nga,Ngbaka,nga,100749
ngl,Lomwe,ngl,100750
ngp,Ngulu,ngp,100751
ngu,"Nahuatl, Guerrero",ngu,100752
nhe,"Nahuatl, Eastern Huasteca",nhe,100753
nhi,"Nahuatl, Zacatlán-Ahuacatlán-Tepetzintla",nhi,100754
nhu,Noone,nhu,100755
nhw,"Nahuatl, Western Huasteca",nhw,100756
nhx,"Nahuatl, Isthmus-Mecayapan",nhx,100757
nhy,"Nahuatl, Northern Oaxaca",nhy,100758
nia,Nias,nia,100759
nij,Ngaju,nij,100760
nim,Nilamba,nim,100761
nin,Ninzo,nin,100762
nko,Nkonya,nko,100763
nlc,Nalca,nlc,100764
nld,Dutch,nld,100765
nlg,Gela,nlg,100766
nlk,"Yali, Ninia",nlk,100767
nmz,Nawdm,nmz,100768
nnb,Nande,nnb,100769
nno,Norwegian Nynorsk,nno,100770
nnq,Ngindo,nnq,100771
nnw,"Nuni, Southern",nnw,100772
noa,Woun Meu,noa,100773
nob,Norwegian Bokmål,nob,100774
nod,"Thai, Northern",nod,100775
nog,Nogai,nog,100776
not,Nomatsigenga,not,100777
npi,Nepali,npi,100778
npl,"Nahuatl, Southeastern Puebla",npl,100779
npy,Napu,npy,100780
nso,"Sotho, Northern",nso,100781
nst,"Naga, Tangshang",nst,100782
nsu,"Nahuatl, Sierra Negra",nsu,100783
ntm,Nateni,ntm,100784
ntr,Delo,ntr,100785
nuj,Nyole,nuj,100786
