language_code,language_name,script_direction,metadata
leh,Lenje,left-to-right,"{""region"": ""Zambia, Africa"", ""alternate-names"": [""Chilenje"", ""Chinamukuni"", ""Ciina"", ""Lengi"", ""Lenji"", ""Mukuni"", ""Twa (Lukanga)""]}"
lei,Lemio,left-to-right,"{""region"": ""Papua New Guinea, Pacific""}"
lej,Lengola,left-to-right,"{""region"": ""The Democratic Republic of the Congo, Africa"", ""alternate-names"": [""Lengora""]}"
lek,Leipon,left-to-right,"{""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Pityilu""]}"
lel,Lele (Democratic Republic of Congo),left-to-right,"{""region"": ""The Democratic Republic of the Congo, Africa"", ""alternate-names"": [""Bashilele"", ""Usilele""]}"
lem,Nomaande,left-to-right,"{""region"": ""Cameroon, Africa"", ""alternate-names"": [""Lemande"", ""Mande"", ""Mandi"", ""Noomaante"", ""Numand"", ""Pimenc""]}"
len,Lenca,left-to-right,"{""region"": ""Honduras, Americas""}"
leo,Leti (Cameroon),left-to-right,"{""region"": ""Cameroon, Africa""}"
lep,Lepcha,left-to-right,"{""region"": ""India, Asia"", ""alternate-names"": [""Lapcha"", ""N\u00fcnpa"", ""Rong"", ""Rongke"", ""Rongpa"", ""Lapche""]}"
leq,Lembena,left-to-right,"{""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Lembena Pii"", ""Nanimba Pii"", ""Uyalipa Pii"", ""Wapi Pii""]}"
ler,Lenkau,left-to-right,"{""region"": ""Papua New Guinea, Pacific""}"
les,Lese,left-to-right,"{""region"": ""The Democratic Republic of the Congo, Africa"", ""alternate-names"": [""Balese"", ""Lesa"", ""Lesse"", ""Lissi"", ""Mbuti"", ""Walisi"", ""Vukutu (Obi)"", ""Vonkutu"", ""Arumbi (Upstream Lese)"", ""Ndese (Lese Dese)""]}"
let,Lesing-Gelimi,left-to-right,"{""description"": ""Amio-Gelimi"", ""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Amio"", ""Atui"", ""Lesing-Atui"", ""Lesing-Gelimi"", ""Poronga""]}"
leu,Kara (Papua New Guinea),left-to-right,"{""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Lemusmus"", ""Lauan-Nonopai"", ""Luburua"", ""Ngavalus-Lossuk""]}"
lev,Lamma,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Lamma'"", ""Lemma"", ""Pantar Barat"", ""Tubbe""]}"
lew,Ledo Kaili,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Paloesch"", ""Palu"", ""Rai (Sindue-Tawaili)"", ""Ado (Pakuli)"", ""Doi (Kayu Malue)"", ""Edo (Sidondo)"", ""Ija (Sigi)"", ""Ledo (Palu)"", ""Raio (Kori)"", ""To ri Io"", ""Mamboro"", ""Torio"", ""Tawaili-Sindue"", ""Tara (Parigi)"", ""Tado (Ri Io)"", ""Taa (Palolo)"", ""Ta'a (Dolago-Sausu)"", ""Sibalaya"", ""Sausu"", ""Toriu""]}"
lex,Luang,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Letri Lgona"", ""Lgona"", ""Literi Lagona"", ""Wetan (Wetang)""]}"
ley,Lemolang,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Baebunta"", ""Limola"", ""Limolang""]}"
